year,rainfall_mm,temp_C,rh_pct
1996,2129.5933333333332,26.593458749999996,85.18909916666667
1997,1910.7566666666667,26.14170375,84.33605333333331
1998,722.9133333333333,26.852644166666668,84.355485
1999,1821.8133333333333,26.380865833333335,83.8326875
2000,1291.43,26.571613333333328,83.89391249999998
2001,1434.17,26.79813,84.39432416666666
2002,1771.25,26.823339166666667,84.20700166666666
2003,1559.72,27.07388541666667,84.61883666666667
2004,2362.3,26.842248749999996,84.95279333333335
2005,2192.76,27.170017916666666,84.24759916666666
2006,1613.28,26.851454166666667,84.14565416666666
2007,1393.6600000000003,26.999742916666666,82.70652166666666
2008,2106.84,27.079561666666674,82.91193166666666
2009,1813.0299999999997,27.017914166666667,84.64792083333333
2010,1747.8966666666663,27.33374166666667,84.36865750000001
2011,2054.923333333333,26.906159583333334,83.76657583333333
2012,1770.4233333333334,26.801119999999997,84.73824583333334
2013,1609.756666666667,26.789480833333332,85.05295666666667
2014,2415.81,26.93825916666667,85.6346775
2015,1419.2133333333334,27.928869583333334,83.23922083333333
2016,1652.006666666667,28.30546666666667,85.48760583333332
2017,1459.8999999999999,28.185076249999998,85.7383775
2018,3931.7133333333327,27.896844583333333,85.1890425
2019,2058.9733333333334,27.795025833333337,85.51775333333332
2020,1823.1466666666668,27.640309583333334,83.76718583333334
2021,1513.7866666666666,27.891874166666668,83.30449916666667
2022,1551.8366666666666,27.289786249999995,82.94109666666667
2023,2198.11,27.396805,82.8057225
2024,1715.023333333333,27.669349583333332,83.34751666666668
2025,1607.4933333333333,27.499770833333333,84.16065666666667
