month,rain_mm,temp_C,rh_pct
JAN,31.99544444444444,27.512473166666666,79.59247266666667
FEB,43.46077777777778,28.406293000000005,82.46884166666668
MAR,77.31744444444445,28.675053166666665,82.45914033333332
APR,153.86666666666667,28.405055333333333,82.80222200000001
MAY,242.0755555555556,27.686612333333336,83.863441
JUN,395.87999999999994,26.494388666666666,86.38666666666668
JUL,249.94955555555552,25.682419333333335,87.18494633333333
AUG,100.55022222222222,25.441935499999996,88.164516
SEP,234.27,25.766888,87.95444333333333
OCT,214.28577777777775,26.639731333333334,85.88279566666665
NOV,60.166666666666664,27.847000833333333,83.48444500000001
DEC,17.96622222222222,27.62795716666667,80.755914
